Disability,Region,Population,age/ave_affected,age affection
Cognitive Disability,Region III (Central Luzon),2355414,Age: 5-19,49.0
Communication Disability,Region III (Central Luzon),2355414,Age: 5-19,91.0
Hearing Disability,Region III (Central Luzon),2355414,Age: 5-19,58.0
Mobility Disability,Region III (Central Luzon),2355414,Age: 5-19,52.0
Self-Care Disability,Region III (Central Luzon),2355414,Age: 5-19,83.0
Visual Disability,Region III (Central Luzon),2355414,Age: 5-19,233.0
Cognitive Disability,Region III (Central Luzon),2893624,Age: 5-19,36.0
Communication Disability,Region III (Central Luzon),2893624,Age: 5-19,76.0
Hearing Disability,Region III (Central Luzon),2893624,Age: 5-19,40.0
Mobility Disability,Region III (Central Luzon),2893624,Age: 5-19,35.0
Self-Care Disability,Region III (Central Luzon),2893624,Age: 5-19,47.0
Visual Disability,Region III (Central Luzon),2893624,Age: 5-19,218.0
Cognitive Disability,Region III (Central Luzon),1460137,Age: 5-19,40.0
Communication Disability,Region III (Central Luzon),1460137,Age: 5-19,85.0
Hearing Disability,Region III (Central Luzon),1460137,Age: 5-19,52.0
Mobility Disability,Region III (Central Luzon),1460137,Age: 5-19,51.0
Self-Care Disability,Region III (Central Luzon),1460137,Age: 5-19,58.0
Visual Disability,Region III (Central Luzon),1460137,Age: 5-19,169.0
Cognitive Disability,Region III (Central Luzon),894254,Age: 5-19,67.0
Communication Disability,Region III (Central Luzon),894254,Age: 5-19,94.0
Hearing Disability,Region III (Central Luzon),894254,Age: 5-19,80.0
Mobility Disability,Region III (Central Luzon),894254,Age: 5-19,67.0
Self-Care Disability,Region III (Central Luzon),894254,Age: 5-19,73.0
Visual Disability,Region III (Central Luzon),894254,Age: 5-19,268.0
Cognitive Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,49.0
Communication Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,79.0
Hearing Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,47.0
Mobility Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,50.0
Self-Care Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,81.0
Visual Disability,Region IV-A (CALABARZON),3033730,Age: 5-19,219.0
Cognitive Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,55.0
Communication Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,92.0
Hearing Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,53.0
Mobility Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,51.0
Self-Care Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,68.0
Visual Disability,Region IV-A (CALABARZON),4210866,Age: 5-19,329.0
Cognitive Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,61.0
Communication Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,91.0
Hearing Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,48.0
Mobility Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,58.0
Self-Care Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,84.0
Visual Disability,Region IV-A (CALABARZON),3343703,Age: 5-19,277.0
Cognitive Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,84.0
Communication Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,127.0
Hearing Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,88.0
Mobility Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,80.0
Self-Care Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,96.0
Visual Disability,Region IV-A (CALABARZON),2260033,Age: 5-19,238.0
Cognitive Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,53.0
Communication Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,82.0
Hearing Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,57.0
Mobility Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,50.0
Self-Care Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,65.0
Visual Disability,Region IV-A (CALABARZON),3208959,Age: 5-19,311.0
Cognitive Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,49.0
Communication Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,116.0
Hearing Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,29.0
Mobility Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,40.0
Self-Care Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,231.0
Visual Disability,Region IX (Zamboanga Peninsula),127728,Age: 5-19,98.0
Cognitive Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,97.0
Communication Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,127.0
Hearing Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,81.0
Mobility Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,81.0
Self-Care Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,108.0
Visual Disability,Region IX (Zamboanga Peninsula),1047292,Age: 5-19,120.0
Cognitive Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,91.0
Communication Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,129.0
Hearing Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,51.0
Mobility Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,62.0
Self-Care Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,135.0
Visual Disability,Region IX (Zamboanga Peninsula),1928337,Age: 5-19,111.0
Cognitive Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,104.0
Communication Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,134.0
Hearing Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,77.0
Mobility Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,81.0
Self-Care Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,106.0
Visual Disability,Region IX (Zamboanga Peninsula),679404,Age: 5-19,123.0
Cognitive Disability,Region V (Bicol Region),1396088,Age: 5-19,74.0
Communication Disability,Region V (Bicol Region),1396088,Age: 5-19,123.0
Hearing Disability,Region V (Bicol Region),1396088,Age: 5-19,94.0
Mobility Disability,Region V (Bicol Region),1396088,Age: 5-19,83.0
Self-Care Disability,Region V (Bicol Region),1396088,Age: 5-19,92.0
Visual Disability,Region V (Bicol Region),1396088,Age: 5-19,221.0
Cognitive Disability,Region V (Bicol Region),622514,Age: 5-19,114.0
Communication Disability,Region V (Bicol Region),622514,Age: 5-19,176.0
Hearing Disability,Region V (Bicol Region),622514,Age: 5-19,138.0
Mobility Disability,Region V (Bicol Region),622514,Age: 5-19,106.0
Self-Care Disability,Region V (Bicol Region),622514,Age: 5-19,128.0
Visual Disability,Region V (Bicol Region),622514,Age: 5-19,201.0
Cognitive Disability,Region V (Bicol Region),2059495,Age: 5-19,89.0
Communication Disability,Region V (Bicol Region),2059495,Age: 5-19,156.0
Hearing Disability,Region V (Bicol Region),2059495,Age: 5-19,130.0
Mobility Disability,Region V (Bicol Region),2059495,Age: 5-19,97.0
Self-Care Disability,Region V (Bicol Region),2059495,Age: 5-19,112.0
Visual Disability,Region V (Bicol Region),2059495,Age: 5-19,232.0
Cognitive Disability,Region V (Bicol Region),272941,Age: 5-19,115.0
Communication Disability,Region V (Bicol Region),272941,Age: 5-19,188.0
Hearing Disability,Region V (Bicol Region),272941,Age: 5-19,152.0
Mobility Disability,Region V (Bicol Region),272941,Age: 5-19,117.0
Self-Care Disability,Region V (Bicol Region),272941,Age: 5-19,122.0
Visual Disability,Region V (Bicol Region),272941,Age: 5-19,192.0
Cognitive Disability,Region V (Bicol Region),937079,Age: 5-19,66.0
Communication Disability,Region V (Bicol Region),937079,Age: 5-19,121.0
Hearing Disability,Region V (Bicol Region),937079,Age: 5-19,62.0
Mobility Disability,Region V (Bicol Region),937079,Age: 5-19,70.0
Self-Care Disability,Region V (Bicol Region),937079,Age: 5-19,72.0
Visual Disability,Region V (Bicol Region),937079,Age: 5-19,122.0
Cognitive Disability,Region V (Bicol Region),845718,Age: 5-19,85.0
