Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,PAMPANGA,PH035400000,13310,2893624,460.0,2.662757831681574
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,TARLAC,PH036900000,10074,1460137,690.0,2.838849090737255
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,ZAMBALES,PH037100000,9105,894254,1019.0,3.0081741840064264
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,AURORA,PH037700000,342,227530,151.0,2.1789769472931693
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,BATAAN,PH030800000,956,836076,115.0,2.060697840353612
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,BULACAN,PH031400000,4049,3646679,112.0,2.0492180226701815
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,NUEVA ECIJA,PH034900000,2790,2355414,119.0,2.0755469613925306
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,PAMPANGA,PH035400000,1874,2893624,65.0,1.8129133566428555
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,TARLAC,PH036900000,1496,1460137,103.0,2.012837224705172
Cognitive Disability,Region III (Central Luzon),Moderate,PH030000000,ZAMBALES,PH037100000,1367,894254,153.0,2.184691430817599
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,AURORA,PH037700000,135,227530,60.0,1.7781512503836436
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,BATAAN,PH030800000,343,836076,42.0,1.6232492903979006
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,BULACAN,PH031400000,1493,3646679,41.0,1.6127838567197355
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,NUEVA ECIJA,PH034900000,1056,2355414,45.0,1.6532125137753437
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,PAMPANGA,PH035400000,822,2893624,29.0,1.462397997898956
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,TARLAC,PH036900000,647,1460137,45.0,1.6532125137753437
Cognitive Disability,Region III (Central Luzon),Severe,PH030000000,ZAMBALES,PH037100000,487,894254,55.0,1.7403626894942439
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,BATANGAS,PH041000000,15699,3033730,518.0,2.714329759745233
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,CAVITE,PH042100000,20477,4210866,487.0,2.6875289612146345
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,LAGUNA,PH043400000,20378,3343703,610.0,2.785329835010767
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,QUEZON,PH045600000,33069,2260033,1464.0,3.165541076722373
Cognitive Disability,Region IV-A (CALABARZON),Mild,PH040000000,RIZAL,PH045800000,19143,3208959,597.0,2.775974331129369
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,BATANGAS,PH041000000,3025,3033730,100.0,2.0
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,CAVITE,PH042100000,3869,4210866,92.0,1.9637878273455553
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,LAGUNA,PH043400000,2862,3343703,86.0,1.9344984512435677
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,QUEZON,PH045600000,3949,2260033,175.0,2.2430380486862944
Cognitive Disability,Region IV-A (CALABARZON),Moderate,PH040000000,RIZAL,PH045800000,2969,3208959,93.0,1.968482948553935
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,BATANGAS,PH041000000,1412,3033730,47.0,1.6720978579357175
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,CAVITE,PH042100000,1666,4210866,40.0,1.6020599913279623
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,LAGUNA,PH043400000,1181,3343703,36.0,1.5563025007672873
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,QUEZON,PH045600000,1188,2260033,53.0,1.724275869600789
Cognitive Disability,Region IV-A (CALABARZON),Severe,PH040000000,RIZAL,PH045800000,1251,3208959,39.0,1.591064607026499
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,844,127728,661.0,2.82020145948564
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA DEL NORTE,PH097200000,16426,1047292,1569.0,3.1956229435869368
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA DEL SUR,PH097300000,22885,1928337,1187.0,3.074450718954591
Cognitive Disability,Region IX (Zamboanga Peninsula),Mild,PH090000000,ZAMBOANGA SIBUGAY,PH098300000,13363,679404,1967.0,3.2938043599193367
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,104,127728,82.0,1.9138138523837167
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA DEL NORTE,PH097200000,2065,1047292,198.0,2.296665190261531
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA DEL SUR,PH097300000,3048,1928337,159.0,2.2013971243204513
Cognitive Disability,Region IX (Zamboanga Peninsula),Moderate,PH090000000,ZAMBOANGA SIBUGAY,PH098300000,1432,679404,211.0,2.3242824552976926
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,43,127728,34.0,1.5314789170422551
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA DEL NORTE,PH097200000,646,1047292,62.0,1.792391689498254
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA DEL SUR,PH097300000,1075,1928337,56.0,1.7481880270062005
Cognitive Disability,Region IX (Zamboanga Peninsula),Severe,PH090000000,ZAMBOANGA SIBUGAY,PH098300000,460,679404,68.0,1.8325089127062364
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,ALBAY,PH050500000,14639,1396088,1049.0,3.020775488193558
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CAMARINES NORTE,PH051600000,9934,622514,1596.0,3.2030328870147105
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CAMARINES SUR,PH051700000,34973,2059495,1699.0,3.230193378869046
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CATANDUANES,PH052000000,5306,272941,1945.0,3.2889196056617265
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,MASBATE,PH054100000,8687,937079,928.0,2.967547976218862
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,SORSOGON,PH056200000,11367,845718,1345.0,3.128722284338427
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,ALBAY,PH050500000,2467,1396088,177.0,2.247973266361807
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CAMARINES NORTE,PH051600000,1410,622514,227.0,2.3560258571931225
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CAMARINES SUR,PH051700000,4918,2059495,239.0,2.3783979009481375
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CATANDUANES,PH052000000,681,272941,250.0,2.3979400086720375
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,MASBATE,PH054100000,1226,937079,131.0,2.1172712956557644
