Disability,Region,Population,age/ave_affected,age affection
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,19612
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 55-80+,69788
Cognitive Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,22644
Communication Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,5906
Hearing Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,32754
Mobility Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,35005
Self-Care Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,8920
Visual Disability,Cordillera Administrative Region (CAR),1807739,Age: 55-80+,61235
Cognitive Disability,MIMAROPA Region,3174856,Age: 55-80+,40871
Communication Disability,MIMAROPA Region,3174856,Age: 55-80+,10523
Hearing Disability,MIMAROPA Region,3174856,Age: 55-80+,54045
Mobility Disability,MIMAROPA Region,3174856,Age: 55-80+,58142
Self-Care Disability,MIMAROPA Region,3174856,Age: 55-80+,14068
Visual Disability,MIMAROPA Region,3174856,Age: 55-80+,157435
Cognitive Disability,National Capital Region (NCR),13804656,Age: 55-80+,55722
Communication Disability,National Capital Region (NCR),13804656,Age: 55-80+,25389
Hearing Disability,National Capital Region (NCR),13804656,Age: 55-80+,102968
Mobility Disability,National Capital Region (NCR),13804656,Age: 55-80+,124661
Self-Care Disability,National Capital Region (NCR),13804656,Age: 55-80+,35974
Visual Disability,National Capital Region (NCR),13804656,Age: 55-80+,383114
Cognitive Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,47015
Communication Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,13543
Hearing Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,59060
Mobility Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,60258
Self-Care Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,18650
Visual Disability,REGION XI (DAVAO REGION),5290867,Age: 55-80+,173977
Cognitive Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,69774
Communication Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,18995
Hearing Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,84191
Mobility Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,82085
Self-Care Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,26447
Visual Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 55-80+,219188
Cognitive Disability,Region I (Ilocos Region),5270807,Age: 55-80+,51605
Communication Disability,Region I (Ilocos Region),5270807,Age: 55-80+,17662
Hearing Disability,Region I (Ilocos Region),5270807,Age: 55-80+,95951
Mobility Disability,Region I (Ilocos Region),5270807,Age: 55-80+,93670
Self-Care Disability,Region I (Ilocos Region),5270807,Age: 55-80+,26450
Visual Disability,Region I (Ilocos Region),5270807,Age: 55-80+,244393
Cognitive Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,42714
Communication Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,12120
Hearing Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,70409
