Disability,Region,Status,RegCode_New,Province,Household Population 5 Years Old and Over with Functional Difficulty,Province_pcode,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,ALBAY,14639,PH050500000,1396088,1049.0,3.020775488193558
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CAMARINES NORTE,9934,PH051600000,622514,1596.0,3.2030328870147105
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CAMARINES SUR,34973,PH051700000,2059495,1699.0,3.230193378869046
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,CATANDUANES,5306,PH052000000,272941,1945.0,3.2889196056617265
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,MASBATE,8687,PH054100000,937079,928.0,2.967547976218862
Cognitive Disability,Region V (Bicol Region),Mild,PH050000000,SORSOGON,11367,PH056200000,845718,1345.0,3.128722284338427
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,ALBAY,2467,PH050500000,1396088,177.0,2.247973266361807
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CAMARINES NORTE,1410,PH051600000,622514,227.0,2.3560258571931225
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CAMARINES SUR,4918,PH051700000,2059495,239.0,2.3783979009481375
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,CATANDUANES,681,PH052000000,272941,250.0,2.3979400086720375
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,MASBATE,1226,PH054100000,937079,131.0,2.1172712956557644
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,SORSOGON,1789,PH056200000,845718,212.0,2.326335860928751
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,ALBAY,859,PH050500000,1396088,62.0,1.792391689498254
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CAMARINES NORTE,452,PH051600000,622514,73.0,1.863322860120456
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CAMARINES SUR,1445,PH051700000,2059495,71.0,1.8512583487190752
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CATANDUANES,217,PH052000000,272941,80.0,1.9030899869919435
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,MASBATE,454,PH054100000,937079,49.0,1.6901960800285136
