Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Both Sexes,Severe,PH129800000,82,18,6,12,46
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Female,All,PH129800000,680,121,35,67,457
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Female,Mild,PH129800000,573,106,27,56,384
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Female,Moderate,PH129800000,59,10,5,5,39
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Female,Severe,PH129800000,48,5,3,6,34
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Male,All,PH129800000,662,149,79,95,339
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Male,Mild,PH129800000,532,110,58,73,291
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Male,Moderate,PH129800000,96,26,18,16,36
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Self-Care Disability,Male,Severe,PH129800000,34,13,3,6,12
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Visual Disability,Both Sexes,All,PH129800000,5746,127,236,1888,3799
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Visual Disability,Both Sexes,Mild,PH129800000,5698,94,208,1816,3580
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Visual Disability,Both Sexes,Moderate,PH129800000,279,9,10,61,199
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Visual Disability,Both Sexes,Severe,PH129800000,73,24,18,11,20
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Visual Disability,Female,All,PH129800000,3215,69,119,985,2042
